,team_name,havoc_count,def_total_epa,havoc_rate_pct
103,Arizona State,276.0,-5.641114028000009,11.339
104,Wisconsin,222.0,36.6373285587241,11.303
105,Western Kentucky,269.0,-24.970762900000004,11.116
106,Jacksonville State,291.0,-15.620944695026362,11.09
107,UTEP,251.0,76.362405112,10.999
108,Louisiana Tech,251.0,221.72449435097926,10.999
109,Nevada,250.0,-246.85578898348444,10.965
110,Wake Forest,248.0,-152.776172552,10.935
111,Temple,229.0,-40.35234446600001,10.926
112,Southern Miss,234.0,-187.83554136200001,10.924
113,Georgia State,236.0,-144.901742926,10.876
114,Georgia Southern,257.0,-21.122195294000004,10.871
115,Charlotte,244.0,-116.52497639200001,10.864
116,Western Michigan,240.0,-255.58546994399998,10.743
117,App State,202.0,-200.803106436,10.71
118,San Diego State,233.0,-27.44571177599999,10.668
119,Arkansas,259.0,-0.7375317059999986,10.641
120,Kent State,235.0,-242.037771636,10.595
121,Michigan State,215.0,-79.202077616,10.591
122,Florida International,241.0,80.90433921311639,10.424
123,New Mexico,218.0,-395.856262834,10.332
124,Oregon State,201.0,-202.189173996,10.308
125,Akron,212.0,-20.624907543999996,10.047
126,Massachusetts,190.0,-243.040446566,9.754
127,UAB,222.0,-98.30690397,9.694
128,New Mexico State,208.0,-69.85506322839214,9.585
129,Middle Tennessee,191.0,-254.20290326458746,9.183
130,Mississippi State,189.0,-215.47595879,8.445
