team_id,team_name,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,penalties,pressures_allowed,sacks_allowed
90,HOUSTON,60.224390243902434,61.4375,56.523529411764706,5,61,42,78,12
95,ILLINOIS,63.6390243902439,54.53636363636363,60.67999999999999,20,75,47,110,15
98,INDIANA,67.48333333333333,54.904761904761905,61.987500000000004,11,50,37,74,13
101,IOWA,66.35952380952381,63.268,63.12857142857143,11,40,17,57,6
102,IOWA STATE,61.14791666666667,56.24285714285714,57.92340425531915,15,107,30,129,7
105,JAMES MAD,66.74285714285713,64.57307692307693,63.94285714285714,12,53,51,82,17
104,JVILLE ST,63.61914893617021,62.863157894736844,61.97391304347826,15,61,45,87,11
106,KANSAS,66.67142857142858,62.87894736842105,64.02285714285715,5,41,38,51,5
107,KANSAS ST,63.676315789473676,61.67222222222222,61.54210526315789,5,81,33,91,5
108,KENNESAW,55.488571428571426,56.970000000000006,58.11333333333334,10,50,42,68,8
109,KENT STATE,55.80888888888889,55.315,55.464444444444446,16,87,37,129,26
110,KENTUCKY,61.9780487804878,58.92142857142857,59.792682926829265,19,82,48,123,22
123,LA LAFAYET,64.0409090909091,64.796,59.49545454545455,15,53,48,79,11
258,LA MONROE,60.286,61.65652173913043,57.31836734693877,9,52,54,76,15
124,LA TECH,61.08,59.5,56.87555555555556,19,56,34,99,24
118,LIBERTY,64.66,59.834782608695654,63.7675,6,80,40,95,9
125,LOUISVILLE,64.05714285714285,51.63636363636363,60.05238095238096,17,87,48,112,8
113,LSU,62.465789473684204,65.53478260869565,58.75555555555555,22,97,65,130,11
128,MARSHALL,60.711627906976744,62.57777777777778,59.62558139534884,14,51,46,73,8
129,MARYLAND,57.879487179487185,52.622727272727275,54.97435897435897,49,77,33,147,21
133,MEMPHIS,68.1258064516129,67.34,63.645161290322584,15,71,40,96,10
137,MIAMI FL,65.28510638297873,62.291666666666664,60.246808510638296,15,79,41,109,15
138,MIAMI OH,62.75853658536585,60.12068965517241,63.01282051282051,14,75,38,100,11
140,MICH STATE,58.542,51.711999999999996,56.943999999999996,23,115,46,155,17
139,MICHIGAN,61.6921052631579,64.3409090909091,59.419999999999995,17,71,20,99,11
141,MIDDLE TN,56.323684210526324,48.78333333333333,56.06388888888889,12,107,52,138,19
143,MINNESOTA,63.54666666666667,62.38695652173914,61.12558139534884,16,81,33,112,15
144,MISS STATE,60.06341463414634,60.48260869565217,60.71,25,79,51,127,23
146,MISSOURI,64.07428571428571,60.108695652173914,61.72285714285715,11,69,44,93,13
164,N CAROLINA,62.306382978723406,62.76190476190476,59.95531914893617,24,77,65,121,20
173,N ILLINOIS,61.844897959183676,65.068,59.58775510204082,21,56,24,85,8
170,N TEXAS,60.87083333333334,61.70869565217391,55.37446808510638,15,95,55,119,9
155,NAVY,63.412,65.43333333333332,61.576,13,27,41,46,6
154,NC STATE,61.911764705882355,63.685,59.87058823529412,11,71,46,92,10
156,NEBRASKA,62.8890625,65.61282051282052,60.242592592592594,13,84,49,110,13
157,NEVADA,62.358695652173914,60.57083333333333,59.50652173913044,23,87,55,122,12
160,NEW MEX ST,59.39714285714286,58.48636363636364,59.55588235294118,16,70,30,102,16
159,NEW MEXICO,64.096875,69.0,60.432258064516134,8,41,71,50,1
