team_id,team_name,batted_passes,forced_fumbles,fumble_recoveries,grades_coverage_defense,grades_defense,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,stops,tackles,tackles_for_loss,total_pressures,touchdowns,yards,yards_after_catch
178,NOTRE DAME,6,13,11,64.65833333333333,67.79302325581395,67.35833333333333,67.56976744186046,68.37317073170732,51,168,19,135,39,43,40.472093023255816,236,53.0,0,400,708,46.0,272,14,2714,1341
176,NWESTERN,10,4,4,63.169999999999995,64.16,65.45384615384616,64.05757575757576,62.4375,29,110,10,130,30,13,46.57714285714286,245,23.0,0,266,538,33.0,162,15,2780,1283
179,OHIO,7,10,8,62.24117647058823,63.86,65.11724137931034,64.47368421052632,63.4361111111111,55,141,11,156,31,27,53.6,264,39.0,1,332,580,57.0,235,16,2959,1350
180,OHIO STATE,17,15,10,65.803125,68.61025641025641,67.8125,70.45833333333333,63.696875,48,173,10,134,33,37,42.58974358974359,268,65.0,0,415,669,57.0,286,10,2678,1460
182,OKLA STATE,5,2,2,59.29722222222222,59.5,61.486666666666665,59.91428571428571,59.118181818181824,44,142,12,162,32,24,57.06153846153846,255,28.0,0,314,619,40.0,214,26,3422,1504
181,OKLAHOMA,7,13,9,61.79736842105264,68.02888888888889,66.67179487179487,69.48095238095237,64.50263157894737,37,144,9,127,19,27,51.61333333333333,216,38.0,1,368,584,58.0,219,17,2637,1154
184,OLE MISS,10,12,9,63.481818181818184,67.49285714285713,65.81481481481481,69.0775,65.50285714285714,38,195,12,96,39,44,39.37619047619047,268,56.0,0,388,605,66.0,289,13,2986,1606
185,OREGON,17,8,5,66.29393939393938,67.33658536585367,64.7290322580645,64.16341463414633,63.28181818181819,31,201,12,104,41,24,46.05609756097561,233,42.0,0,320,560,44.0,274,15,2607,1170
186,OREGON ST,8,5,7,59.377419354838715,58.69142857142857,60.925000000000004,58.47714285714286,62.5060606060606,21,86,5,115,24,30,58.385714285714286,190,9.0,0,226,520,36.0,116,14,2547,1040
187,PENN STATE,10,11,5,64.06857142857143,67.56190476190476,64.81142857142858,68.6609756097561,65.00769230769231,56,181,20,184,33,46,53.87619047619048,285,46.0,0,409,711,74.0,283,18,3086,1711
189,PITTSBURGH,14,8,5,64.89411764705882,65.89302325581396,63.890625,65.06190476190476,66.46571428571428,67,148,13,139,31,36,42.8046511627907,283,41.0,1,369,641,62.0,256,22,3436,1806
195,PURDUE,2,4,1,56.230000000000004,58.95869565217391,63.70384615384615,59.45111111111112,58.34571428571428,27,113,4,140,24,26,49.25,218,24.0,0,277,570,39.0,164,27,3033,1561
197,RICE,3,10,4,64.97419354838709,64.85121951219513,63.32121212121212,64.3138888888889,64.65,40,108,8,109,21,24,52.63170731707317,179,35.0,0,325,537,43.0,183,18,2075,924
201,RUTGERS,13,8,4,59.981249999999996,62.58837209302326,62.833333333333336,62.45581395348837,64.20857142857143,40,138,8,116,31,22,46.64883720930233,256,23.0,2,274,559,27.0,201,18,3004,1740
214,S ALABAMA,7,6,4,63.42258064516129,63.75365853658537,62.234482758620686,65.67073170731707,61.794117647058826,39,119,16,169,33,40,51.35853658536585,279,24.0,0,343,636,51.0,182,18,3234,1502
