team_id,total_epa,epa_per_play,def_total_epa,def_epa_per_play,passing_total_epa,passing_epa_per_play,def_passing_epa_total,def_passing_epa_per_play,rushing_total_epa,rushing_epa_per_play,def_rushing_total_epa,def_rushing_epa_per_play,firstdown_epa_per_play,def_firstdown_epa_per_play,seconddown_epa_per_play,def_seconddown_epa_per_play,thirddown_epa_per_play,def_thirddown_epa_per_play,fourthdown_epa_per_play,def_fourthdown_epa_per_play,redzone_total_epa,redzone_epa_per_play,def_redzone_total_epa,def_redzone_epa_per_play,past40_total_epa,past40_epa_per_play,def_past40_total_epa,def_past40_epa_per_play,total_penalty_epa,def_total_penalty_epa,timeout_total_epa,def_timeout_total_epa
161,-383.390399224,-0.17782486049350651,177.892176958,0.09678573283895538,-109.450803432,-0.12816253329274005,108.939859296,0.13188844951089587,-123.60711745,-0.14339572790023203,112.55750262800001,0.17980431729712462,-0.16510226159367947,0.07342814545822786,-0.12032355223762375,0.1330738979711934,-0.17215287354726366,0.20519593797752808,-0.36255063980916036,-0.08660061304854369,-51.795293824000005,-0.21403013976859506,19.788424271999993,0.08913704627027023,-146.255642278,-0.22431846975153377,27.928486974,0.05269525844150943,-57.301276436,-13.746418469999998,2.080984922,-0.5867758980000001
162,-164.311850662,-0.11669875757244319,26.079455655999997,0.016696194402048652,-37.760150802000005,-0.09209792878536587,29.592050620000006,0.04851155839344263,-53.896955434,-0.07833859801453488,29.140248553999996,0.04069867116480446,-0.06824474951864407,0.0812045240730337,-0.14837748752659574,-0.0633913572202643,-0.019094482428571424,0.00656442815037595,-0.3883398645432099,-0.03618943995384616,6.6943309619999996,0.058722201421052625,-5.905342452,-0.022368721409090908,-13.757597296,-0.04326288457861635,18.101047155999996,0.03131669058131487,-2.493240199999999,2.761477992000001,-2.063391352,-1.1734365680000005
163,-221.54625449,-0.12940785893107476,-59.83075396199999,-0.03283795497365532,-118.399665528,-0.18048729501219513,-75.510473536,-0.10911918141040464,-64.45888988,-0.09423814309941521,-54.441649336,-0.07777378476571428,-0.07460272884223919,-0.06757572984615384,-0.15213694958515284,-0.07026368794676806,-0.153111675615894,-0.03816044220231214,-0.28307265466265064,0.2531795775294118,-7.636977288,-0.037072705281553396,9.357530216,0.03773197667741936,-120.62476578,-0.2346785326459144,-8.387308645999996,-0.01402559974247491,26.047026873999997,-45.637457784,-5.917072834,29.708685396
164,47.071118282000015,0.02011586251367522,0.4653761759999988,0.00019736054961832012,-71.495099194,-0.08391443567370893,21.321523806000002,0.025626831497596154,155.258175704,0.16912655305446622,-18.338996206,-0.02024171766666667,0.036287258271676295,0.008293200400000002,0.03503763219819821,0.024069936003030302,-0.03298403856,0.0985718208164251,-0.003120777220338977,-0.2450324992878788,59.859859948,0.18249957301219513,-16.173428794,-0.04125874692346938,37.45782735200001,0.04839512577777779,-15.317080873999998,-0.019587059941176467,-30.236397043999997,-44.071784512,-3.2045819520000007,8.191580376000001
165,-233.477304398,-0.116738652199,-216.562943246,-0.11326513768096234,-118.447975694,-0.15793063425866666,-82.083356146,-0.11659567634375,-124.054122382,-0.17671527404843304,-150.440595864,-0.1866508633548387,-0.06559854545011601,-0.08711663126896552,-0.12077203398479087,-0.04231620145588235,-0.2359641523526316,-0.18885333635757579,-0.10232280366379311,-0.3299396395952381,-7.6998556539999985,-0.047529973172839496,-43.061487994,-0.14258770858940395,-81.251185672,-0.16718350961316875,-61.439537874,-0.08580941043854749,58.362934308,-5.487062039999998,-14.175263922,14.470936029999999
166,86.60964778600001,0.05261825503402188,139.406351774,0.07702008385303867,26.619886126000004,0.04770588911469535,151.118250118,0.23835686138485804,48.709688026,0.06958526860857144,33.739461082000005,0.04947135056011731,0.09528295457291668,0.08720033954683544,-0.046193056694323144,0.12858999786666664,-0.016363337288732377,0.18842220488414635,0.28849960610294123,-0.2500358426698113,-19.453852630000004,-0.06357468179738564,38.72440307,0.1792796438425926,-9.879825521999999,-0.01709312374048443,22.519557153999994,0.053874538645933,-1.7373167240000011,-56.00502058,-11.323598266000001,-11.758908132
167,89.10939433200001,0.045004744612121214,-145.925457574,-0.073625357,-18.251962157999998,-0.02834155614596273,-87.45573347,-0.1267474398115942,60.857082209999994,0.06792085068080357,-81.944349304,-0.09944702585436893,0.1187577309153675,-0.08185618350909091,-0.020070525120000002,-0.027374519287769784,-0.0035158818826815713,-0.08716871135359115,-0.030100997126436782,-0.14737342310869564,74.039144488,0.2357934537834395,-88.05667101,-0.4039296835321101,-14.182756932,-0.021042666071216617,-73.935920612,-0.12574136158503402,75.344445626,6.522845403999997,-9.954422644000001,14.901631306
168,392.7454390050633,0.16957920509717758,67.78302023166334,0.030233282886558136,255.329102926,0.3596184548253521,-63.938372705999996,-0.0764813070645933,101.280143242,0.091739260182971,80.402451924,0.10229319583206108,0.10098070277969348,0.05369913467715967,0.19509855927941175,0.05077254054948806,0.26856722310015446,-0.19011180718811882,0.2447362830879121,0.28705288447058824,191.002466962,0.4081249294059829,47.191171784,0.18291151854263565,200.4068292850633,0.2057564982392847,23.976854818,0.042815812175,43.04536119,-32.464072728,-19.647823400936673,32.70381141989048
169,-58.120421428,-0.33402541050574713,-12.138057457999999,-0.08201390174324323,0.6537027480000004,0.012105606444444451,0.8774988999999999,0.01828122708333333,-21.759328785999998,-0.2863069577105263,-17.775817584000002,-0.22219771980000003,-0.027808373527777777,0.22906782759999997,-0.5059746892380952,-0.5661110254347826,-0.1861435369444444,0.45504525679999996,-1.173588094,-0.9360502796666667,-23.683308672,-1.6916649051428572,-13.550675782,-0.37640766061111114,-18.224495758,-0.6508748485,-22.185272954,-0.30812879102777774,-7.100612409999999,12.764446982,0.0,0.0
170,132.91413815620743,0.05768842801918725,-129.144541196,-0.05624762247212544,85.32688814600002,0.08049706428867925,-40.430811364,-0.0494264197603912,17.54991632,0.02536115075144509,-73.23276092799999,-0.07741306652008456,0.10043596973009464,-0.14389649017964073,0.0290751479543974,-0.07086469917868338,0.001261678224919823,0.04058466605825243,0.037827140073170736,0.17840384272131146,-7.161998259999995,-0.018651037135416656,-33.281985905999996,-0.10336020467701862,-12.341739020931747,-0.016543886087039876,19.699391765999998,0.02592025232368421,56.103885802,13.659062792000002,6.013354331068249,-16.64300915
