team_id,team_name,contested_receptions,contested_targets,grades_offense,grades_pass_route,receptions,routes,yards,yards_after_catch
180,OHIO STATE,35,73,68.74705882352941,63.0875,324,2321,4201,2004
182,OKLA STATE,35,72,64.67368421052632,61.268421052631574,267,2171,3166,1758
181,OKLAHOMA,26,48,60.34761904761905,59.7,235,2217,2275,1277
184,OLE MISS,28,63,67.53529411764706,65.91176470588235,295,2332,4558,2052
185,OREGON,22,43,67.59375,65.70625,335,2380,3910,2280
186,OREGON ST,30,70,64.08571428571429,58.65714285714286,217,1919,2418,1036
187,PENN STATE,41,70,67.3,61.873333333333335,292,2300,3650,1754
189,PITTSBURGH,41,70,62.345000000000006,60.60526315789474,301,2881,3468,1465
195,PURDUE,31,65,62.585,61.96,189,1783,2206,1010
197,RICE,26,78,60.83888888888888,62.8111111111111,292,2346,2877,1568
201,RUTGERS,36,81,65.87142857142858,58.300000000000004,213,1978,2696,911
214,S ALABAMA,21,41,67.71333333333334,61.82666666666667,253,2133,3160,1778
215,S CAROLINA,24,49,64.24285714285713,64.54285714285714,223,2026,2890,1491
209,S DIEGO ST,44,71,64.99333333333333,62.81333333333334,232,2017,2474,1148
210,S JOSE ST,59,106,64.68181818181819,62.01818181818182,316,2519,4177,1255
206,SM HOUSTON,23,51,62.594117647058816,60.48235294117647,217,1797,2177,1301
203,SMU,34,64,66.42941176470588,67.0529411764706,283,2240,3691,2073
223,SO MISS,22,51,60.5875,61.88125,167,1675,2089,1182
228,STANFORD,37,76,62.699999999999996,59.964285714285715,225,1946,2295,982
233,SYRACUSE,79,130,65.16470588235293,62.2764705882353,392,2958,4791,2099
234,TCU,40,63,65.1047619047619,60.92857142857143,327,2455,4071,2112
236,TEMPLE,23,57,59.519047619047626,58.42380952380953,240,2165,2555,1364
237,TENNESSEE,20,49,65.53333333333333,59.67619047619048,236,2021,2876,1248
240,TEXAS,33,69,64.84666666666666,61.9,356,2830,4457,2694
241,TEXAS A&M,29,55,63.62222222222223,60.55555555555556,216,2055,2729,1313
243,TEXAS ST,26,48,67.3923076923077,63.88461538461539,300,2243,3496,1938
244,TEXAS TECH,34,80,66.19411764705882,61.61764705882353,335,2707,3866,2038
246,TOLEDO,23,57,61.6578947368421,61.43684210526315,277,2280,3279,1665
248,TROY,23,48,65.03125,64.05625,214,1715,2554,1241
249,TULANE,16,36,67.06666666666666,64.07777777777778,207,1619,2930,1445
250,TULSA,36,76,64.61111111111111,62.19444444444444,248,2117,2865,1171
252,UAB,23,54,60.61904761904762,57.69047619047619,286,2389,3147,1812
255,UCF,37,65,66.60666666666665,59.46666666666667,181,1689,2396,1052
256,UCLA,30,59,60.525,60.40625,259,2227,2902,1618
257,UCONN,32,67,61.7764705882353,55.588235294117645,223,1973,2586,1256
130,UMASS,21,49,58.94375,55.96875,187,1832,2190,1047
259,UNLV,28,64,71.46000000000001,59.65333333333333,178,1695,2417,1107
260,USC,49,111,66.48235294117647,61.847058823529416,335,2558,3788,2016
219,USF,21,56,59.57647058823529,59.54705882352941,261,2306,2970,1654
266,UTAH,26,57,60.136842105263156,59.147368421052626,199,1866,2389,1098
267,UTAH ST,36,76,62.55384615384616,59.44615384615384,293,2397,3178,1450
262,UTEP,18,52,60.79375,59.69375,222,1947,2385,1304
263,UTSA,34,84,63.989999999999995,60.785000000000004,316,2696,3690,2006
275,VA TECH,19,46,64.52857142857142,61.871428571428574,199,1841,2455,1223
271,VANDERBILT,20,53,65.2764705882353,64.45294117647059,179,1587,2319,1032
273,VIRGINIA,29,61,60.74285714285714,60.5,244,2284,2739,1390
289,W KENTUCKY,30,61,64.98888888888888,62.63529411764706,311,2406,3700,1968
290,W MICHIGAN,35,59,65.54666666666667,62.39333333333333,213,1631,2437,1150
285,W VIRGINIA,33,62,64.15,61.01428571428572,226,2065,2727,1080
279,WAKE,40,76,62.233333333333334,62.42666666666666,247,2147,2864,1153
282,WASH STATE,21,49,62.90625,60.19375,263,2252,3568,1772
281,WASHINGTON,36,53,70.53571428571429,65.25,302,2173,3402,1814
294,WISCONSIN,27,54,62.72222222222222,61.13333333333334,208,1787,2360,1171
